Id,Title,Author,Link
1,The Declaration of Independence of the United States of America,Thomas Jefferson,http://www.gutenberg.org/ebooks/1
2,The United States Bill of Rights,United States,http://www.gutenberg.org/ebooks/2
4,Lincoln's Gettysburg Address,Abraham Lincoln,http://www.gutenberg.org/ebooks/4
5,The United States Constitution,United States,http://www.gutenberg.org/ebooks/5
6,Give Me Liberty or Give Me Death,Patrick Henry,http://www.gutenberg.org/ebooks/6
8,Abraham Lincoln's Second Inaugural Address,Abraham Lincoln,http://www.gutenberg.org/ebooks/8
9,Abraham Lincoln's First Inaugural Address,Abraham Lincoln,http://www.gutenberg.org/ebooks/9
11,Alice's Adventures in Wonderland,Lewis Carroll,http://www.gutenberg.org/ebooks/11
12,Through the Looking-Glass,Lewis Carroll,http://www.gutenberg.org/ebooks/12
13,The Hunting of the Snark: An Agony in Eight Fits,Lewis Carroll,http://www.gutenberg.org/ebooks/13
14,The 1990 CIA World Factbook,United States. Central Intelligence Agency,http://www.gutenberg.org/ebooks/14
15,"Moby-Dick; or, The Whale",Herman Melville,http://www.gutenberg.org/ebooks/15
16,Peter Pan,J. M. Barrie,http://www.gutenberg.org/ebooks/16
17,The Book of Mormon,Church of Jesus Christ of Latter-day Saints and Smith,http://www.gutenberg.org/ebooks/17
19,The Song of Hiawatha,Henry Wadsworth Longfellow,http://www.gutenberg.org/ebooks/19
22,Roget's Thesaurus,Peter Mark Roget,http://www.gutenberg.org/ebooks/22
23,"Narrative of the Life of Frederick Douglass, an American Slave",Douglass,http://www.gutenberg.org/ebooks/23
25,The 1991 CIA World Factbook,United States. Central Intelligence Agency,http://www.gutenberg.org/ebooks/25
28,Aesop's Fables,Aesop,http://www.gutenberg.org/ebooks/28
31,Plays of Sophocles: Oedipus the King; Oedipus at Colonus; Antigone,Sophocles,http://www.gutenberg.org/ebooks/31
33,The Scarlet Letter,Nathaniel Hawthorne,http://www.gutenberg.org/ebooks/33
35,The Time Machine,H. G. Wells,http://www.gutenberg.org/ebooks/35
36,The War of the Worlds,H. G. Wells,http://www.gutenberg.org/ebooks/36
41,The Legend of Sleepy Hollow,Washington Irving,http://www.gutenberg.org/ebooks/41
42,The Strange Case of Dr. Jekyll and Mr. Hyde,Robert Louis Stevenson,http://www.gutenberg.org/ebooks/42
43,The Strange Case of Dr. Jekyll and Mr. Hyde,Robert Louis Stevenson,http://www.gutenberg.org/ebooks/43
44,The Song of the Lark,Willa Cather,http://www.gutenberg.org/ebooks/44
45,Anne of Green Gables,L. M. Montgomery,http://www.gutenberg.org/ebooks/45
46,A Christmas Carol in Prose; Being a Ghost Story of Christmas,Charles Dickens,http://www.gutenberg.org/ebooks/46
47,Anne of Avonlea,L. M. Montgomery,http://www.gutenberg.org/ebooks/47
48,The 1992 CIA World Factbook,United States. Central Intelligence Agency,http://www.gutenberg.org/ebooks/48
50,Pi,Scott Hemphill,http://www.gutenberg.org/ebooks/50
51,Anne of the Island,L. M. Montgomery,http://www.gutenberg.org/ebooks/51
52,The Square Root of 2,Stan Kerr,http://www.gutenberg.org/ebooks/52
54,The Marvelous Land of Oz,L. Frank Baum,http://www.gutenberg.org/ebooks/54
55,The Wonderful Wizard of Oz,L. Frank Baum,http://www.gutenberg.org/ebooks/55
59,Discourse on the Method of Rightly Conducting One's Reason and of Seeking Truth,,http://www.gutenberg.org/ebooks/59
60,The Scarlet Pimpernel,Baroness Emmuska Orczy Orczy,http://www.gutenberg.org/ebooks/60
61,The Communist Manifesto,Friedrich Engels and Karl Marx,http://www.gutenberg.org/ebooks/61
62,A Princess of Mars,Edgar Rice Burroughs,http://www.gutenberg.org/ebooks/62
63,"The Number ""e""",Unknown,http://www.gutenberg.org/ebooks/63
64,The Gods of Mars,Edgar Rice Burroughs,http://www.gutenberg.org/ebooks/64
68,Warlord of Mars,Edgar Rice Burroughs,http://www.gutenberg.org/ebooks/68
69,The 32nd Mersenne Prime,David Slowinski,http://www.gutenberg.org/ebooks/69
72,"Thuvia, Maid of Mars",Edgar Rice Burroughs,http://www.gutenberg.org/ebooks/72
73,The Red Badge of Courage: An Episode of the American Civil War,Stephen Crane,http://www.gutenberg.org/ebooks/73
78,Tarzan of the Apes,Edgar Rice Burroughs,http://www.gutenberg.org/ebooks/78
82,Ivanhoe: A Romance,Walter Scott,http://www.gutenberg.org/ebooks/82
83,"From the Earth to the Moon; and, Round the Moon",Jules Verne,http://www.gutenberg.org/ebooks/83
84,"Frankenstein; Or, The Modern Prometheus",Mary Wollstonecraft Shelley,http://www.gutenberg.org/ebooks/84
85,The Beasts of Tarzan,Edgar Rice Burroughs,http://www.gutenberg.org/ebooks/85
86,A Connecticut Yankee in King Arthur's Court,Mark Twain,http://www.gutenberg.org/ebooks/86
87,The 1993 CIA World Factbook,United States. Central Intelligence Agency,http://www.gutenberg.org/ebooks/87
90,The Son of Tarzan,Edgar Rice Burroughs,http://www.gutenberg.org/ebooks/90
92,Tarzan and the Jewels of Opar,Edgar Rice Burroughs,http://www.gutenberg.org/ebooks/92
95,The Prisoner of Zenda,Anthony Hope,http://www.gutenberg.org/ebooks/95
96,The Monster Men,Edgar Rice Burroughs,http://www.gutenberg.org/ebooks/96
